Student ID,Subject ID,Group ID
153,DE0086,1
154,PT0181,1
154,CT0646,81
155,PT0303,1
156,OG0137,6
156,ME0242,6
156,ME0156,2
156,PT1002,1
156,PT0999,1
157,CS0224,1
158,FI0159,1
158,OG0134,5
158,OG0347,14
158,OG0124,5
158,PS0303,1
158,OG0135,8
159,EC0314,1
159,EC0245,2
159,EC0285,1
159,EC0272,1
159,EC0215,1
160,MU0703,183
160,MU0503,185
160,MU0522,184
160,MU0682,183
160,MU0792,184
161,PR0254,1
161,PR0251,1
161,PR0251,1
161,PR0248,3
161,PR0244,3
161,PR0244,3
162,HL0552,2
163,EC0243,9
163,OG0127,6
163,ME0242,3
163,OG0136,1
163,OG0273,1
163,OG0137,3
164,ID0617,202
164,ID0615,202
164,IM0607,71
164,IM0122,1
165,DE0151,1
165,DE0055,1
165,DE0078,1
166,OG0125,7
166,EC0103,13
166,OG0064,2
166,ME0245,1
167,PT0113,23
167,ME0171,6
167,OG0122,3
167,ME0235,2
167,FI0116,9
168,FI0159,2
168,EC0235,4
168,OG0127,4
168,MU0402,16
168,OG0284,1
169,IC0606,3
170,ME0247,2
170,FI0116,10
170,ME0249,2
170,ME0245,2
171,BI0472,1
171,CM0465,1
171,BI0477,1
171,BI0477,1
171,BI0471,1
172,NI0221,3
172,EC0243,11
172,HL0555,3
172,OG0126,3
173,FI0140,2
173,EC0235,4
173,OG0127,4
173,MU0401,20
173,OG0124,6
174,ID0250,60
174,ID0248,57
174,ID0249,2
174,ID0252,1
174,ID0268,1
175,IC0274,5
175,IC0293,3
175,PT0161,1
176,BI0468,1
176,CM0475,1
176,BI0474,1
176,BI0471,1
177,DF0281,1
177,DF0291,1
177,PT0306,1
177,DF0280,1
178,CM0438,1
178,PT0303,1
179,HL0551,1
179,MU0938,183
179,MU0719,184
179,MU0504,183
179,MU0478,184
180,PT0131,1
180,ST0255,1
181,MU0407,183
181,MU0465,185
181,MU0456,183
181,MU0468,190
181,MU0645,183
181,MU0726,183
182,IP0683,52
182,IC0274,4
182,IP0683,52
182,IC0281,4
183,DE0155,1
183,DE0129,2
183,DE0664,1
183,DE0078,1
184,OG0591,31
184,ME0171,1
185,EC0101,6
185,FI0224,3
185,DE0119,6
187,IC0290,3
187,IC0274,4
187,IC0283,2
187,IC0275,2
187,IC0269,2
187,PT0161,1
188,CS0094,1
188,CS0241,3
188,HL0311,1
188,HL0555,10
188,CS0251,2
188,HL0356,2
189,ME0253,4
189,EC0103,5
189,ME0212,6
189,OG0347,12
189,DE0120,6
190,PT0113,31
190,ME0242,5
190,DE0084,17
190,CO0233,1
190,ME0212,1
191,ST0248,2
191,ST0242,1
191,ST0249,1
191,ST0245,1
191,ST0248,2
191,ST0270,2
191,ST0247,1
191,ST0245,1
191,ST0249,1
191,ST0242,1
192,BI0458,2
192,BI0458,2
193,PT0191,1
193,NI0191,2
193,PT0999,1
194,IC0262,2
194,IM0232,3
194,CT0272,1
194,IC0286,1
195,PS0320,1
195,PS0318,1
195,PS0322,1
195,PS0316,1
196,IM0245,2
196,CM0245,3
196,MU0401,11
196,IM0245,2
196,ST0241,1
196,IP0250,1
197,FI0231,1
197,CM0108,2
197,EC0112,3
197,EC0112,3
198,DF0125,1
198,DF0281,1
198,PR0243,1
198,BI0045,1
198,PT0306,1
198,DF0280,1
198,BI0045,1
199,DE0151,1
199,PR0312,10
201,ME0145,1
201,OG0137,7
201,CO0229,1
201,ME0242,6
201,EC0749,202
201,NI0269,1
202,PT0131,1
202,ST0258,1
202,ST0262,1
203,OG0127,1
203,CO0143,1
203,PT0040,1
204,PT0131,1
204,ST0263,1
204,ST0262,1
204,ST0261,1
204,ST0217,1
205,IP0671,51
205,ID0262,3
205,IP0283,3
205,ID0261,1
205,PT0302,1
206,OG0279,1
206,CO0234,1
206,EC0101,7
206,CM0211,7
206,BU0600,24
206,CO0133,9
207,OG0126,2
207,NI0247,2
207,PR0312,3
207,OG0260,3
208,IM0250,1
208,IM0241,1
209,HL0555,7
209,ME0212,7
209,OG0128,2
209,OG0131,5
209,DE0162,1
209,OG0347,9
210,BU0600,3
210,ME0106,8
210,ME0230,4
210,ME0233,1
210,ME0232,1
211,CO0221,1
211,EC0272,1
211,EC0235,2
211,OG0352,1
212,ID0262,88
212,ID0258,76
212,ID0260,1
212,ID0261,83
212,ID0259,1
213,FI0158,2
213,OG0282,1
213,OG0125,3
214,IC0276,2
214,IC0290,2
214,IC0272,3
214,IC0266,2
214,IC0275,2
214,IC0281,3
215,PS0317,2
215,CT0310,2
216,ME0241,2
216,OG0127,5
216,OG0122,3
217,ID0260,2
217,ID0263,3
217,ID0255,1
217,ID0268,1
218,ME0172,2
218,ME0234,2
218,ME0247,1
219,IP0694,51
219,ID0615,202
219,IP0258,1
219,IP0674,51
220,CM0422,1
220,CM0418,1
220,CM0426,1
220,CM0081,1
221,BU0407,2
221,BU0600,15
221,ID0240,49
221,BU0407,2
221,BU0157,2
222,ME0244,2
222,ME0243,2
222,ME0248,2
223,DE0084,4
223,OG0261,4
223,EC0235,8
223,NI0281,1
223,OG0137,3
224,ME0171,6
224,ME0157,1
224,EC0243,4
224,ME0212,6
224,FI0131,7
224,OG0128,3
225,IC0274,5
225,IC0283,2
225,IC0290,1
225,IC0292,3
226,CM0212,8
226,OG0131,2
226,FI0116,10
226,PR0312,2
227,DE0138,1
227,DE0126,3
227,EC0266,1
227,DE0131,1
227,DE0130,2
228,IC0265,5
228,IP0231,7
228,CT0272,2
228,IC0262,2
228,CM0244,7
228,IC0263,2
229,ST0255,1
229,ST0256,1
229,ST0257,2
230,BU0011,51
230,PS0300,1
231,OG0064,1
231,FI0157,2
231,OG0134,4
